tiempo,Theta1,Theta2
0.015,0,0
0.03,1.32923956067081,-1.87438372940074
0.045,2.65847912134161,-3.74876745880148
0.06,3.98771868201242,-5.62315118820222
0.075,5.31695824268322,-7.49753491760296
0.09,6.64619780335403,-9.3719186470037
0.105,7.97543736402483,-11.2463023764044
0.12,9.30467692469564,-13.1206861058052
0.135,10.6339164853664,-14.9950698352059
0.15,11.9631560460372,-16.8694535646067
0.165,13.2923956067081,-18.7438372940074
0.18,14.6216351673789,-20.6182210234081
0.195,15.9508747280497,-22.4926047528089
0.21,17.2801142887205,-24.3669884822096
0.225,18.6093538493913,-26.2413722116104
0.24,19.9385934100621,-28.1157559410111
0.255,21.2678329707329,-29.9901396704118
0.27,22.5970725314037,-31.8645233998126
0.285,23.9263120920745,-33.7389071292133
0.3,25.2555516527453,-35.6132908586141
0.315,26.5847912134161,-37.4876745880148
0.33,27.9140307740869,-39.3620583174155
0.345,29.2432703347577,-41.2364420468163
0.36,30.5725098954285,-43.110825776217
0.375,31.9017494560993,-44.9852095056178
0.39,33.2309890167701,-46.8595932350185
0.405,34.5602285774409,-48.7339769644192
0.42,35.8894681381117,-50.60836069382
0.435,37.2187076987826,-52.4827444232207
0.45,38.5479472594534,-54.3571281526215
0.465,39.8771868201242,-56.2315118820222
0.48,41.206426380795,-58.1058956114229
0.495,42.5356659414658,-59.9802793408237
0.51,43.8649055021366,-61.8546630702244
0.525,45.1941450628074,-63.7290467996252
0.54,46.5233846234782,-65.6034305290259
0.555,47.852624184149,-67.4778142584266
0.57,49.1818637448198,-69.3521979878274
0.585,50.5111033054906,-71.2265817172281
0.6,51.8403428661614,-73.1009654466288
0.615,53.1695824268322,-74.9753491760296
0.63,54.498821987503,-76.8497329054303
0.645,55.8280615481738,-78.7241166348311
0.66,57.1573011088446,-80.5985003642318
0.675,58.4865406695154,-82.4728840936326
0.69,59.8157802301862,-84.3472678230333
0.705,61.145019790857,-86.221651552434
0.72,62.4742593515279,-88.0960352818348
0.735,63.8034989121987,-89.9704190112355
0.75,65.1327384728695,-91.8448027406363
0.765,65.1327384728695,-91.8448027406363
0.78,65.166720376574,-91.8324849095508
0.795,65.2012554392095,-91.820990576486
0.81,65.2363412999957,-91.8103220357405
0.825,65.2719756202676,-91.800481612299
0.84,65.3081560832328,-91.7914716632714
0.855,65.3448803937948,-91.7832945794565
0.87,65.3821462784437,-91.7759527870348
0.885,65.4535502286352,-91.7566699023866
0.9,65.5265619998249,-91.7398143324393
0.915,65.6011740555556,-91.725395512816
0.93,65.6773790033328,-91.7134230501267
0.945,65.7551695928197,-91.7039067312319
0.96,65.8345387145546,-91.6968565334426
0.975,65.9154793991976,-91.6922826357009
0.99,65.9979848173174,-91.69019543079
1.005,66.0820482797286,-91.6906055386277
1.02,66.1676632383964,-91.693523820702
1.035,66.254823287923,-91.6989613957131
1.05,66.3435221676387,-91.7069296564948
1.065,66.4337537643186,-91.7174402882903
1.08,66.5255121155516,-91.7305052884705
1.095,66.6187914137919,-91.7461369877856
1.11,66.7135860111258,-91.7643480732553
1.125,66.8098904247914,-91.7851516128072
1.14,66.9076993434934,-91.8085610817884
1.155,67.0070076345597,-91.834590391485
1.17,67.1078103519918,-91.8632539197975
1.185,67.2101027454674,-91.8945665442361
1.2,67.3138802703605,-91.928543677415
1.215,67.4191385988495,-91.965201305244
1.23,67.5258736321949,-92.0045560280341
1.245,67.6340815142752,-92.0466251047605
1.26,67.7437586464794,-92.0914265007455
1.275,67.8549017040683,-92.138978939059
1.29,67.9675076541254,-92.1893019559603
1.305,68.0815737752366,-92.2424159607452
1.32,68.1970976790508,-92.298342300399
1.335,68.3140773338938,-92.3571033295048
1.35,68.4325110906256,-92.4187224859055
1.365,68.5523977109583,-92.4832243726779
1.38,68.6737363984743,-92.5506348470433
1.395,68.7965268326171,-92.6209811169134
1.41,68.9207692059607,-92.6942918458594
1.425,69.0464642651023,-92.7705972673869
1.44,69.1736133555694,-92.8499293095162
1.455,69.3022184711831,-92.9323217307956
1.47,69.4322823083814,-93.0178102690259
1.485,69.5638083260738,-93.1064328041473
1.5,69.6968008116798,-93.1982295369426
1.515,69.8312649540998,-93.2932431854425
1.53,69.9672069244747,-93.3915192011932
1.545,70.1046339657189,-93.4931060078655
1.56,70.2435544919673,-93.5980552650593
1.575,70.3839781992485,-93.7064221606011
1.59,70.5259161889159,-93.8182657351528
1.605,70.6693811056165,-93.9336492435745
1.62,70.8143872918775,-94.0526405582224
1.635,70.9609509617566,-94.175312620253
1.65,71.1090903964332,-94.3017439460708
1.665,71.2588261651472,-94.4320191973507
1.68,71.4101813755347,-94.566229824634
1.695,71.5631819581946,-94.7044747964164
1.71,71.7178569912887,-94.8468614280017
1.725,71.874239072174,-94.9935063273109
1.74,72.032364744561,-95.1445364784574
1.755,72.192274991564,-95.3000904884456
1.77,72.3540158073764,-95.4603200280756
1.785,72.5176388633236,-95.6253915054304
1.8,72.6832022879207,-95.7954880196657
1.815,72.8507715855874,-95.9708116549237
1.83,73.0204207252534,-96.1515861900021
1.845,73.1922334387913,-96.3380603202899
1.86,73.3663047808653,-96.5305115163752
1.875,73.5427430175732,-96.7292506814677
1.89,73.7216719329518,-96.9346278215161
1.905,73.9032336726705,-97.1470390139304
1.92,74.0875922871469,-97.3669350627634
1.935,74.2749381982956,-97.5948323751669
1.95,74.465493905528,-97.8313268102236
1.965,74.6595213845767,-98.0771115770045
1.98,74.8573318465002,-98.3330007623938
1.995,75.0592988656248,-98.5999608718114
2.01,75.2658764496922,-98.8791540900082
2.025,75.4776245976479,-99.1719992439185
2.04,75.6952466474731,-99.4802605507066
2.055,75.9196460820422,-99.8061820703876
2.07,76.1520173877615,-100.152701868148
2.085,76.3940011753915,-100.523816054271
2.1,76.6479734513504,-100.925254503392
2.115,76.9176583522264,-101.36590501543
2.13,77.2097029816215,-101.861454358118
2.145,77.5403634220694,-102.44972667579
2.16,77.9829632635474,-103.299415855952
2.175,78.2751375050659,-103.815777157397
2.19,78.5133022860654,-104.214430155582
2.205,78.7111518947743,-104.525077060472
2.22,78.8752909545863,-104.761722664516
2.235,79.0094592165094,-104.932069778218
2.25,79.1158996619698,-105.040550589277
2.265,79.1958899604634,-105.089497939338
2.28,79.2499623404424,-105.079626736953
2.295,79.2779593896621,-105.010153120792
2.31,79.2789564317043,-104.878619163197
2.325,79.2510035408181,-104.680318961464
2.34,79.1904987020431,-104.406908589766
2.355,79.0905206918112,-104.04271375507
2.37,78.9337843319834,-103.549127878719
2.385,78.6424667763515,-102.753680074417
2.4,78.4858094837736,-102.253099481074
2.415,78.3675923758561,-101.834330845411
2.43,78.2745637643917,-101.468294158391
2.445,78.2002766622276,-101.140942491622
2.46,78.1409244812144,-100.844042563709
2.475,78.0939781273308,-100.572164154306
2.49,78.0576319200515,-100.321458605987
2.505,78.030531579896,-100.089060482216
2.52,78.0116241466195,-99.8727582089702
2.535,78.0000680443475,-99.6707971954
2.55,77.9951757662829,-99.4817546820352
2.565,77.9963755595105,-99.3044562949583
2.58,78.0031848131725,-99.1379182421618
2.595,78.0151909874717,-98.9813060005425
2.61,78.0320375849687,-98.8339040081243
2.625,78.0534135999374,-98.6950929323189
2.64,78.0790454311024,-98.564332293167
2.655,78.1086905793192,-98.4411469588021
2.67,78.1421326645323,-98.325116497019
2.685,78.1791774349905,-98.2158666705168
2.7,78.2196495343903,-98.1130625661503
2.715,78.2633898559983,-98.0164029869979
2.73,78.3102533570312,-97.9256158325493
2.745,78.3601072379955,-97.8404542607759
2.76,78.4128294143746,-97.7606934752197
2.775,78.4683072246839,-97.6861280163658
2.79,78.5264363312629,-97.6165694633635
2.805,78.5871197794611,-97.5518444722805
2.82,78.6502671879348,-97.4917930923573
2.835,78.7157940482025,-97.4362673134502
2.85,78.7836211158104,-97.3851298069329
2.865,78.8536738787586,-97.3382528294281
2.88,78.9258820914385,-97.2955172643287
2.895,79.0001793643977,-97.2568117805163
2.91,79.0765028019079,-97.2220320912349
2.925,79.1547926806459,-97.1910802989392
2.94,79.2349921638833,-97.1638643142585
2.955,79.3170470464648,-97.1402973391055
2.97,79.4009055265831,-97.1202974055119
2.985,79.4865180009576,-97.1037869630483
3,79.5738368805216,-97.0906925087471
3.015,79.6628164241409,-97.080944254325
3.03,79.7534125882277,-97.0744758262414
3.045,79.8455828904132,-97.071223994747
3.06,79.9392862856837,-97.0711284285953
3.075,80.0344830535968,-97.0741314725375
3.09,80.1311346953703,-97.0801779450891
3.105,80.229203839791,-97.0892149543826
3.12,80.3286541570169,-97.1011917301904
3.135,80.4294502794623,-97.1160594704372
3.15,80.5315577290478,-97.1337712007268
3.165,80.6349428501837,-97.1542816455765
3.18,80.739572747925,-97.1775471102098
3.195,80.845415230801,-97.2035253718857
3.21,80.9524387578762,-97.2321755798576
3.225,81.0606123896467,-97.2634581631555
3.24,81.1699057424193,-97.2973347454721
3.255,81.2802889458568,-97.3337680665097
3.27,81.3917326034046,-97.3727219092114
3.285,81.5042077553433,-97.4141610323622
3.3,81.6176858442371,-97.4580511080933
3.315,81.7321386825687,-97.5043586638743
3.33,81.8475384223738,-97.5530510286148
3.345,81.9638575267025,-97.6040962825361
3.36,82.0810687427541,-97.6574632105049
3.375,82.1991450765427,-97.7131212585496
3.39,82.3180597689646,-97.7710404933069
3.405,82.4377862731513,-97.8311915641676
3.42,82.5582982329978,-97.8935456679139
3.435,82.6795694627685,-97.9580745156553
3.45,82.8015739276901,-98.0247503018907
3.465,82.9242857254461,-98.0935456755363
3.48,83.0476790684962,-98.1644337127755
3.495,83.171728267149,-98.2373878915949
3.51,83.2964077133203,-98.3123820678868
3.525,83.4216918649165,-98.3893904530042
3.54,83.5475552307837,-98.4683875926651
3.555,83.6739723561692,-98.5493483471122
3.57,83.8009178086443,-98.6322478724395
3.585,83.9283661644409,-98.7170616030054
3.6,84.056291995156,-98.8037652348578
3.615,84.1846698547816,-98.8923347101022
3.63,84.3134742670196,-98.9827462021492
3.645,84.4426797128423,-99.0749761017827
3.66,84.5722606182605,-99.1690010039932
3.675,84.702191342265,-99.264797695527
3.69,84.8324461649046,-99.3623431431024
3.705,84.9629992754683,-99.4616144822511
3.72,85.0938247607374,-99.5625890067421
3.735,85.2248965932761,-99.6652441585527
3.75,85.3561886197271,-99.7695575183485
3.765,85.4876745490827,-99.875506796442
3.78,85.6193279408965,-99.9830698241981
3.795,85.751122193407,-100.092224545858
3.81,85.8830305315386,-100.202949010755
3.825,86.0150259947495,-100.315221365896
3.84,86.1470814246917,-100.429019848891
3.855,86.2791694526506,-100.544322781197
3.87,86.4112624867293,-100.66110856167
3.885,86.5433326987407,-100.7793556604
3.9,86.6753520107713,-100.899042612803
3.915,86.8072920813782,-101.020148013973
3.93,86.9391242913773,-101.142650513254
3.945,87.0708197291822,-101.266528809043
3.96,87.2023491756471,-101.391761643787
3.975,87.3336830883683,-101.518327799182
3.99,87.4647915853927,-101.646206091543
4.005,87.5956444282812,-101.775375367351
4.02,87.7262110044689,-101.905814498957
4.035,87.8564603088632,-102.037502380437
4.05,87.9863609246134,-102.170417923589
4.065,88.1158810029815,-102.304540054062
4.08,88.2449882422411,-102.439847707619
4.095,88.3736498655213,-102.57631982651
4.11,88.5018325975085,-102.713935355973
4.125,88.6295026399115,-102.852673240834
4.14,88.7566256455863,-102.992512422222
4.155,88.8831666912081,-103.133431834382
4.17,89.0090902483702,-103.275410401595
4.185,89.1343601529742,-103.418427035185
4.2,89.258939572767,-103.562460630641
4.215,89.3827909728659,-103.707490064823
4.23,89.5058760790951,-103.853494193277
4.245,89.6281558389431,-104.00045184765
4.26,89.7495903799286,-104.148341833206
4.275,89.8701389651419,-104.297142926465
4.29,89.9897599457047,-104.446833872949
4.305,90.1084107098631,-104.597393385056
4.32,90.2260476283978,-104.748800140077
4.335,90.3426259960019,-104.901032778356
4.35,90.4580999682361,-105.054069901614
4.365,90.572422493626,-105.20789007146
4.38,90.6855452404171,-105.362471808099
4.395,90.7974185174447,-105.517793589271
4.41,90.9079911885099,-105.673833849451
4.425,91.0172105795768,-105.830570979332
4.44,91.1250223780226,-105.987983325645
4.455,91.2313705230697,-106.146049191362
4.47,91.3361970864172,-106.304746836322
4.485,91.4394421419567,-106.464054478367
4.5,91.5410436233035,-106.623950295043
4.515,91.6409371676988,-106.78441242597
4.53,91.7390559446295,-106.945418975975
4.545,91.8353304672713,-107.106948019113
4.56,91.9296883845765,-107.268977603731
4.575,92.0220542514936,-107.431485758725
4.59,92.1123492744096,-107.594450501219
4.605,92.2004910284383,-107.75784984588
4.62,92.2863931426162,-107.921661816187
4.635,92.3699649484007,-108.085864457969
4.65,92.4511110860589,-108.250435855653
4.665,92.5297310625635,-108.415354151705
4.68,92.6057187534318,-108.580597569879
4.695,92.6789618395008,-108.746144443007
4.71,92.7493411678631,-108.911973246241
4.725,92.8167300239995,-109.078062636844
4.74,92.8809932994259,-109.244391501924
4.755,92.941986535767,-109.410939015789
4.77,92.9995548218761,-109.577684709101
4.785,93.0535315151621,-109.744608552487
4.8,93.1037367512871,-109.911691058068
4.815,93.149975697349,-110.078913403271
4.83,93.1920364918372,-110.246257582626
4.845,93.2296877990383,-110.413706594924
4.86,93.2626758847173,-110.58124467553
4.875,93.2907210916943,-110.748857586868
4.89,93.3135135552604,-110.916532984679
4.905,93.3307079445194,-111.084260884175
4.92,93.3419169394882,-111.252034259636
4.935,93.3467030437832,-111.419849824944
4.95,93.344568170662,-111.58770906359
4.965,93.3349401957796,-111.755619609239
4.98,93.3171552913819,-111.923597129687
4.995,93.2904342518285,-112.091667951987
5.01,93.2538500192047,-112.259872811019
5.025,93.2062818901383,-112.428272360587
5.04,93.1463487518284,-112.596955565834
5.055,93.0723076609479,-112.766053049092
5.07,92.981891556507,-112.935759504663
5.085,92.8720313112907,-113.106374123115
5.1,92.7383332389925,-113.278380921622
5.115,92.5739535975079,-113.452632538139
5.13,92.3665606992237,-113.63088131318
5.145,92.0857366889218,-113.818135678859
5.16,91.7313249523644,-114.01011250407
5.175,91.5089074078196,-114.163837916655
5.19,91.3505292777141,-114.298395102732
5.205,91.2425710425534,-114.418855250687
5.22,91.178741599435,-114.52803806694
5.235,91.1557967330512,-114.627747995148
5.25,91.1721149286713,-114.71920653418
5.265,91.2271428257954,-114.803233561924
5.28,91.3211825807767,-114.880325810357
5.295,91.4553729468019,-114.950676628997
5.31,91.6318476580779,-115.014144371852
5.325,91.8541632862535,-115.070147759395
5.34,92.1283261907007,-115.11740657106
5.355,92.4656824901898,-115.153216216136
5.37,92.8951553732252,-115.170437062846
5.385,93.4125526330704,-115.168401690388
5.4,93.8121704916732,-115.194015062889
5.415,94.1667026673308,-115.231746988176
5.43,94.4919826759917,-115.278218129519
5.445,94.7959926917525,-115.331665667536
5.46,95.0835151049413,-115.39098971937
5.475,95.3577290090863,-115.455425220633
5.49,95.6208899301976,-115.524402677027
5.505,95.8746719922532,-115.597477901698
5.52,96.1203597001367,-115.674292392887
5.535,96.3589640149728,-115.75454913445
5.55,96.5912967852002,-115.837996900214
5.565,96.8180206766108,-115.924419584353
5.58,97.0396839035403,-116.013628669601
5.595,97.2567451190787,-116.105457743422
5.61,97.4695917038497,-116.199758400805
5.625,97.6785534926995,-116.296397115317
5.64,97.8839132675496,-116.39525280431
5.655,98.0859149071254,-116.496214903202
5.67,98.2847698061283,-116.599181820519
5.685,98.4806619945504,-116.704059682745
5.7,98.6737522659153,-116.810761303145
5.715,98.8641815397009,-116.919205326071
5.73,99.0520736248355,-117.029315510471
5.745,99.2375375096588,-117.141020125035
5.76,99.4206692737635,-117.254251433774
5.775,99.6015536951613,-117.368945255546
5.79,99.7802656099075,-117.485040584526
5.805,99.9568710690611,-117.602479261313
5.82,100.131428328547,-117.721205686396
5.835,100.303988700343,-117.841166569286
5.85,100.474597287865,-117.962310707871
5.865,100.643293624132,-118.084588793498
5.88,100.810112227834,-118.207953238115
5.895,100.97508308977,-118.332358020363
5.91,101.138232099931,-118.457758548078
5.925,101.299581423768,-118.584111535019
5.94,101.459149834795,-118.711374890004
5.955,101.616953009487,-118.8395076169
5.97,101.773003789552,-118.96846972415
5.985,101.927312415822,-119.09822214268
6,102.079886737414,-119.228726651242
6.015,102.230732399254,-119.359945808322
6.03,102.379853010622,-119.491842889899
6.045,102.527250297007,-119.624381832413
6.06,102.672924237227,-119.757527180388
6.075,102.81687318754,-119.891244038223
6.09,102.959093994215,-120.025498025734
6.105,103.099582095843,-120.160255237059
6.12,103.238331616537,-120.295482202596
6.135,103.375335450986,-120.431145853696
6.15,103.510585342236,-120.567213489833
6.165,103.644071952964,-120.703652748021
6.18,103.7757849309,-120.840431574286
6.195,103.905712969023,-120.977518196991
6.21,104.033843861016,-121.114881101862
6.225,104.160164552486,-121.252489008551
6.24,104.284661188341,-121.390310848624
6.255,104.407319156707,-121.528315744835
6.27,104.52812312971,-121.666472991578
6.285,104.647057101426,-121.804752036438
6.3,104.764104423266,-121.943122462726
6.315,104.879247837024,-122.081553972933
6.33,104.992469505821,-122.220016373025
6.345,105.103751043127,-122.358479557514
6.36,105.21307354004,-122.496913495231
6.375,105.32041759098,-122.635288215769
6.39,105.425763317942,-122.773573796516
6.405,105.529090393438,-122.911740350251
6.42,105.630378062251,-123.049758013251
6.435,105.729605162092,-123.187596933863
6.45,105.826750143281,-123.325227261521
6.465,105.921791087519,-123.462619136146
6.48,106.014705725842,-123.599742677923
6.495,106.105471455836,-123.736567977409
6.51,106.194065358161,-123.873065085942
6.525,106.280464212464,-124.009204006333
6.54,106.364644512723,-124.144954683813
6.555,106.446582482079,-124.2802869972
6.57,106.526254087202,-124.415170750275
6.585,106.603635052219,-124.549575663345
6.6,106.678700872259,-124.683471364956
6.615,106.751426826633,-124.816827383753
6.63,106.821787991692,-124.949613140451
6.645,106.889759253368,-125.081797939916
6.66,106.955315319448,-125.21335096331
6.675,107.018430731572,-125.344241260303
6.69,107.079079876999,-125.474437741319
6.705,107.137237000125,-125.603909169799
6.72,107.192876213794,-125.732624154466
6.735,107.245971510387,-125.86055114156
6.75,107.296496772698,-125.987658407029
6.765,107.344425784617,-126.113914048657
6.78,107.389732241588,-126.239285978094
6.795,107.43238976087,-126.363741912777
6.81,107.472371891572,-126.48724936771
6.825,107.509652124468,-126.609775647078
6.84,107.544203901565,-126.731287835665
6.855,107.576000625425,-126.851752790057
6.87,107.605015668207,-126.971137129576
6.885,107.631222380419,-127.089407226945
6.9,107.654594099344,-127.206529198613
6.915,107.675104157121,-127.322468894733
6.93,107.692725888439,-127.437191888728
6.945,107.70743263781,-127.550663466418
6.96,107.719197766381,-127.662848614652
6.975,107.727994658231,-127.773712009401
6.99,107.733796726116,-127.883218003247
7.005,107.736577416582,-127.991330612218
7.02,107.736310214405,-128.098013501907
7.035,107.73296864628,-128.20322997279
7.05,107.726526283677,-128.30694294469
7.065,107.716956744788,-128.409114940283
7.08,107.704233695473,-128.509708067571
7.095,107.6883308491,-128.608684001225
7.11,107.66922196518,-128.70600396268
7.125,107.646880846659,-128.801628698881
7.14,107.621281335755,-128.895518459542
7.155,107.592397308188,-128.987632972791
7.17,107.56020266564,-129.077931419037
7.185,107.52467132629,-129.166372402902
7.2,107.485777213215,-129.25291392304
7.215,107.44349424047,-129.337513339622
7.23,107.397796296606,-129.420127339299
7.245,107.348657225384,-129.500711897362
7.26,107.296050803413,-129.57922223687
7.275,107.239950714405,-129.655612784419
7.29,107.180330519715,-129.729837122237
7.305,107.117163624806,-129.801847936244
7.32,107.050423241228,-129.871596959672
7.335,106.980082343652,-129.939034911786
7.35,106.906113621481,-130.004111431222
7.365,106.828489424456,-130.066775003376
7.38,106.747181701658,-130.126972881219
7.395,106.662161933206,-130.184650998849
7.41,106.573401053868,-130.239753876977
7.425,106.48086936773,-130.29222451949
7.44,106.384536452937,-130.342004300083
7.455,106.284371055401,-130.389032837832
7.47,106.180340970232,-130.43324786045
7.485,106.072412909476,-130.474585053779
7.5,105.960552354561,-130.512977895865
7.515,105.8447233916,-130.548357473751
7.53,105.724888527477,-130.580652280848
7.545,105.601008484293,-130.609787992399
7.56,105.47304196941,-130.635687216223
7.575,105.340945417904,-130.658269215457
7.59,105.204672703709,-130.677449599487
7.605,105.06417481514,-130.693139978677
7.62,104.919399489772,-130.705247577722
7.635,104.770290802756,-130.713674801593
7.65,104.616788701626,-130.718318746973
7.665,104.458828479361,-130.719070650774
7.68,104.29634017593,-130.715815265773
7.695,104.129247896646,-130.708430151471
7.71,103.957469033294,-130.696784865903
7.725,103.780913371113,-130.68074004122
7.74,103.599482061072,-130.660146322171
7.755,103.413066432327,-130.63484314207
7.77,103.221546613932,-130.604657304977
7.785,103.024789927547,-130.569401335477
7.8,102.822649003324,-130.528871547885
7.815,102.614959558806,-130.482845774376
7.83,102.401537764433,-130.43108067536
7.845,102.182177097662,-130.373308533948
7.86,101.95664455875,-130.30923340761
7.875,101.724676081772,-130.238526471064
7.89,101.485970920016,-130.160820330585
7.905,101.240184708497,-130.075702014654
7.92,100.986920797378,-129.982704238642
7.935,100.725719291564,-129.881294385712
